,distrito,ano,quarter,precio
152,Chamberí,2010,2,14.3946415334709
153,Ciudad Lineal,2010,2,11.669219922379101
154,Fuencarral,2010,2,10.742066769012698
155,Hortaleza,2010,2,11.843673890033902
156,Latina,2010,2,10.170713846429
157,Moncloa,2010,2,13.3489952215321
158,Moratalaz,2010,2,10.0766777212009
159,Puente De Vallecas,2010,2,10.6742365185878
160,Retiro,2010,2,12.153666720581601
161,Salamanca,2010,2,14.9859010560873
162,San Blas,2010,2,10.7495084928282
163,Tetuan,2010,2,11.6563669936923
164,Usera,2010,2,10.234853844243501
165,Vicálvaro,2010,2,9.828401918617839
166,Villa De Vallecas,2010,2,9.92218693873533
167,Villaverde,2010,2,9.5980187524935
168,Arganzuela,2010,3,12.0281457225122
169,Barajas,2010,3,10.7105982727876
170,Carabanchel,2010,3,10.2967348943035
171,Centro,2010,3,15.159736966351302
172,Chamartín,2010,3,13.634969667980302
173,Chamberí,2010,3,14.3971399258511
174,Ciudad Lineal,2010,3,11.4066868739799
175,Fuencarral,2010,3,10.669266133162099
176,Hortaleza,2010,3,11.7714561347479
177,Latina,2010,3,10.0861458144837
178,Moncloa,2010,3,13.289881916854998
179,Moratalaz,2010,3,9.88310227671549
180,Puente De Vallecas,2010,3,10.5775073391931
181,Retiro,2010,3,12.273965526335198
182,Salamanca,2010,3,14.694490867269302
183,San Blas,2010,3,10.872818740999598
184,Tetuan,2010,3,11.679768038488701
185,Usera,2010,3,10.3884303344521
186,Vicálvaro,2010,3,9.609738918749711
187,Villa De Vallecas,2010,3,9.651933257162199
188,Villaverde,2010,3,9.422873745251689
189,Arganzuela,2010,4,12.143122640144
190,Barajas,2010,4,10.757380274734098
191,Carabanchel,2010,4,10.364327019259301
192,Centro,2010,4,15.5646136338934
193,Chamartín,2010,4,13.6679113698069
194,Chamberí,2010,4,14.172531051294598
195,Ciudad Lineal,2010,4,11.157004189293598
196,Fuencarral,2010,4,10.566967694990801
197,Hortaleza,2010,4,11.6835282737539
198,Latina,2010,4,10.0578151967101
199,Moncloa,2010,4,13.014394589663
200,Moratalaz,2010,4,9.90141368016522
201,Puente De Vallecas,2010,4,10.5577343042319
202,Retiro,2010,4,12.3666622203071
203,Salamanca,2010,4,14.4505088716605
204,San Blas,2010,4,10.7948226161754
205,Tetuan,2010,4,11.846739053591001
206,Usera,2010,4,10.4130572408664
207,Vicálvaro,2010,4,9.27925387566733
208,Villa De Vallecas,2010,4,9.64135828386377
209,Villaverde,2010,4,9.750105280308711
210,Arganzuela,2011,1,12.064769006538201
211,Barajas,2011,1,11.243914270050599
212,Carabanchel,2011,1,10.341559158974599
213,Centro,2011,1,15.078333464286098
214,Chamartín,2011,1,13.398122410146401
215,Chamberí,2011,1,14.1334893735953
216,Ciudad Lineal,2011,1,11.2766455004542
217,Fuencarral,2011,1,10.6425907983931
218,Hortaleza,2011,1,11.6963270107181
219,Latina,2011,1,9.83068307551164
220,Moncloa,2011,1,12.8180782604216
221,Moratalaz,2011,1,9.8323634419681
222,Puente De Vallecas,2011,1,10.6153455625195
223,Retiro,2011,1,12.710413825347302
224,Salamanca,2011,1,14.9369746932355
225,San Blas,2011,1,10.8301254820186
226,Tetuan,2011,1,11.7012061491781
227,Usera,2011,1,10.1582740082758
228,Vicálvaro,2011,1,9.537121091552631
229,Villa De Vallecas,2011,1,9.87036064061823
230,Villaverde,2011,1,9.492249158744029
231,Arganzuela,2011,2,12.1218809177668
232,Barajas,2011,2,11.1063805551633
233,Carabanchel,2011,2,10.1445161729597
234,Centro,2011,2,14.9270333315522
235,Chamartín,2011,2,13.535141061463499
236,Chamberí,2011,2,14.0995832293583
237,Ciudad Lineal,2011,2,11.5807590535267
238,Fuencarral,2011,2,10.851892422173801
239,Hortaleza,2011,2,11.871892345203301
240,Latina,2011,2,9.96303153181491
241,Moncloa,2011,2,13.151611728630801
242,Moratalaz,2011,2,9.54428911399073
243,Puente De Vallecas,2011,2,10.370114150108401
244,Retiro,2011,2,12.9087698348843
245,Salamanca,2011,2,14.8404090943709
246,San Blas,2011,2,10.8579858160179
247,Tetuan,2011,2,11.5544343172502
248,Usera,2011,2,9.96297497470866
249,Vicálvaro,2011,2,9.414781599506439
250,Villa De Vallecas,2011,2,9.55866007781277
251,Villaverde,2011,2,9.14956907603677
252,Arganzuela,2011,3,11.840394382153098
253,Barajas,2011,3,10.841084430822
254,Carabanchel,2011,3,9.92400756516392
255,Centro,2011,3,15.0182461190269
256,Chamartín,2011,3,13.5549985525866
257,Chamberí,2011,3,14.1395277999491
258,Ciudad Lineal,2011,3,11.451993298508802
259,Fuencarral,2011,3,10.9105605788011
260,Hortaleza,2011,3,12.014889088783699
261,Latina,2011,3,9.83145372214168
262,Moncloa,2011,3,13.2575129417197
263,Moratalaz,2011,3,9.425922086715179
264,Puente De Vallecas,2011,3,10.1766519814134
265,Retiro,2011,3,12.4782756229157
266,Salamanca,2011,3,14.802331910813802
267,San Blas,2011,3,10.8060637831965
268,Tetuan,2011,3,11.573554076718302
269,Usera,2011,3,10.100800625933699
270,Vicálvaro,2011,3,9.14818952477611
271,Villa De Vallecas,2011,3,9.67340368078341
272,Villaverde,2011,3,9.11272749989362
273,Arganzuela,2011,4,11.6579500383903
274,Barajas,2011,4,11.1379012835565
275,Carabanchel,2011,4,10.0723855685609
276,Centro,2011,4,15.013364378875501
277,Chamartín,2011,4,13.618448454258198
278,Chamberí,2011,4,13.9474161190311
279,Ciudad Lineal,2011,4,11.353777525757199
280,Fuencarral,2011,4,10.686992520328198
281,Hortaleza,2011,4,11.953632362222901
282,Latina,2011,4,9.81157695446492
283,Moncloa,2011,4,13.026903576919999
284,Moratalaz,2011,4,9.49158567264086
285,Puente De Vallecas,2011,4,10.295296656284199
286,Retiro,2011,4,12.701905163291901
287,Salamanca,2011,4,14.855814855692
288,San Blas,2011,4,10.5929727721711
289,Tetuan,2011,4,11.232832092790598
290,Usera,2011,4,9.76055353493019
291,Vicálvaro,2011,4,9.089261952815642
292,Villa De Vallecas,2011,4,9.47852788167531
293,Villaverde,2011,4,9.21883099150658
294,Arganzuela,2012,1,11.5646904935239
295,Barajas,2012,1,10.8401585390873
296,Carabanchel,2012,1,9.884056862383051
297,Centro,2012,1,14.8223774438239
298,Chamartín,2012,1,13.4474562802434
299,Chamberí,2012,1,13.706488967558801
300,Ciudad Lineal,2012,1,11.2890326787914
301,Fuencarral,2012,1,10.4694807642389
302,Hortaleza,2012,1,11.876798847915198
303,Latina,2012,1,9.8281368522126
304,Moncloa,2012,1,12.5051923930877
305,Moratalaz,2012,1,9.270257779110212
306,Puente De Vallecas,2012,1,10.086220065326
307,Retiro,2012,1,12.6018912977752
308,Salamanca,2012,1,14.597987636214098
309,San Blas,2012,1,10.4620204645154
310,Tetuan,2012,1,11.3617507730166
311,Usera,2012,1,9.854211784001391
312,Vicálvaro,2012,1,9.2517242117644
313,Villa De Vallecas,2012,1,9.48080421484759
314,Villaverde,2012,1,9.0794178344555
315,Arganzuela,2012,2,11.5800394355778
316,Barajas,2012,2,10.956812321552501
317,Carabanchel,2012,2,9.845499680423382
318,Centro,2012,2,14.482733005987
319,Chamartín,2012,2,13.0600978577175
320,Chamberí,2012,2,13.7252969245201
321,Ciudad Lineal,2012,2,11.207513480390402
322,Fuencarral,2012,2,10.4986739320574
323,Hortaleza,2012,2,11.378634607910001
324,Latina,2012,2,9.53806045672598
325,Moncloa,2012,2,12.3751920641433
326,Moratalaz,2012,2,9.202263256891358
327,Puente De Vallecas,2012,2,9.807305060243731
328,Retiro,2012,2,12.3638321116383
329,Salamanca,2012,2,14.212696544649699
330,San Blas,2012,2,10.388651202183
331,Tetuan,2012,2,11.255727213662698
332,Usera,2012,2,9.51626069876602
333,Vicálvaro,2012,2,8.898444920511789
334,Villa De Vallecas,2012,2,9.2293545299022
335,Villaverde,2012,2,9.240493070406039
336,Arganzuela,2012,3,11.5045891449654
337,Barajas,2012,3,10.468055565683098
338,Carabanchel,2012,3,9.60356401695737
339,Centro,2012,3,14.095542813787
340,Chamartín,2012,3,12.6963618108726
341,Chamberí,2012,3,13.9436088323438
342,Ciudad Lineal,2012,3,10.9573121932268
343,Fuencarral,2012,3,10.2977427349984
344,Hortaleza,2012,3,11.5388178344925
345,Latina,2012,3,9.58415720967577
346,Moncloa,2012,3,12.4319677961928
347,Moratalaz,2012,3,9.21019288823939
348,Puente De Vallecas,2012,3,9.628754788177071
349,Retiro,2012,3,12.167434833206801
350,Salamanca,2012,3,14.136421931700301
351,San Blas,2012,3,10.2648909311001
352,Tetuan,2012,3,11.2364397663607
353,Usera,2012,3,9.09206663803898
354,Vicálvaro,2012,3,8.96157570103528
355,Villa De Vallecas,2012,3,9.34039000849991
356,Villaverde,2012,3,8.93261339704957
357,Arganzuela,2012,4,11.2633522134569
358,Barajas,2012,4,10.3760597311235
359,Carabanchel,2012,4,9.4281733261293
360,Centro,2012,4,13.956068823060901
361,Chamartín,2012,4,12.520094220622802
362,Chamberí,2012,4,13.3301470879161
363,Ciudad Lineal,2012,4,10.889260966882901
364,Fuencarral,2012,4,10.072846974534801
365,Hortaleza,2012,4,11.3970480455694
366,Latina,2012,4,9.42874338363349
367,Moncloa,2012,4,12.292688917745302
368,Moratalaz,2012,4,8.934737369650659
369,Puente De Vallecas,2012,4,9.550431473945869
370,Retiro,2012,4,11.951317374586802
371,Salamanca,2012,4,14.308944832484901
